from,to,label,strength,trust,statement,quote,full.quote,combo.type,definition.type,Interview,Positive,sensitivity,specificity
40,75,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
40,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
11,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
40,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
45,76,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
40,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
12,79,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
40,72,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
46,109,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
40,72,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
40,72,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
47,85,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
48,110,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
44,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
49,111,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
13,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
13,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
13,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
12,79,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
12,79,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,99,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
9,99,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
15,99,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1,112,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,112,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
50,113,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
50,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
4,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
51,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
35,23,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,77,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
46,109,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
50,114,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,77,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
13,77,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
41,74,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
42,74,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
38,74,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
43,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
43,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
